Metabolite,Disease,prob,TRUE
HMDB0000112,38,0.034171,0
HMDB0036467,55,0.55452,1
HMDB0000161,19,0.82785,1
HMDB0008408,15,2.32E-05,0
HMDB0003229,42,0.96534,1
HMDB0004327,12,0.97938,1
HMDB0001989,31,0.82552,1
HMDB0000754,15,0.5412,1
HMDB0011564,42,0.98522,1
HMDB0008660,25,6.26E-07,0
HMDB0008212,11,0.00094363,0
HMDB0000042,17,0.77589,1
HMDB0000688,18,0.003517,0
HMDB0008122,32,0.99938,1
HMDB0001954,28,0.012232,0
HMDB0008203,39,4.59E-07,0
HMDB0003148,12,0.79871,0
HMDB0005879,55,0.80581,1
HMDB0008794,12,0.0089506,0
HMDB0059835,12,0.96766,1
HMDB0001183,11,0.98325,1
HMDB0000244,2,0.0096249,0
HMDB0002670,47,0.099691,0
HMDB0000195,42,0.97041,1
HMDB0000133,42,0.94833,1
HMDB0008655,33,4.36E-06,0
HMDB0001644,42,0.98769,1
HMDB0001893,42,0.98863,1
HMDB0003331,41,0.36572,1
HMDB0005806,43,0.90112,0
HMDB0008495,5,6.59E-07,0
HMDB0005800,17,0.033897,0
HMDB0008093,32,0.99872,1
HMDB0000417,24,0.028589,0
HMDB0038040,39,0.0058466,0
HMDB0000251,42,0.98329,1
HMDB0006334,7,0.0005323,0
HMDB0000191,19,0.62068,1
HMDB0010395,32,0.99696,1
HMDB0031598,55,0.93589,1
HMDB0000782,40,0.010851,0
HMDB0002714,31,0.66109,0
HMDB0028917,21,0.0090365,0
HMDB0000625,32,0.48117,0
HMDB0005831,12,0.25115,0
HMDB0006335,33,0.022744,0
HMDB0011500,29,0.10272,0
HMDB0011331,32,0.99953,1
HMDB0007999,14,2.26E-05,0
HMDB0003911,46,0.020024,0
HMDB0094651,20,0.0021517,0
HMDB0006354,37,0.28011,0
HMDB0013467,32,0.99987,1
HMDB0000892,53,0.94545,1
HMDB0005066,4,0.095319,0
HMDB0000033,46,0.0011031,0
HMDB0008348,25,5.18E-07,0
HMDB0002503,17,0.1438,0
HMDB0008544,22,2.96E-07,0
HMDB0034252,42,0.97959,1
HMDB0094666,11,0.97984,1
HMDB0000265,35,0.28763,0
HMDB0032055,42,0.98829,1
HMDB0037051,11,0.98165,1
HMDB0001932,42,0.9522,1
HMDB0029136,42,0.98749,1
HMDB0013678,44,0.022473,0
HMDB0008653,32,0.99653,1
HMDB0008046,32,0.99996,1
HMDB0034367,42,0.9892,1
HMDB0041971,11,0.98174,1
HMDB0000207,21,0.019352,0
HMDB0012107,32,0.9999,1
HMDB0000765,42,0.98962,1
HMDB0011305,47,2.86E-05,0
HMDB0000131,18,0.043363,0
HMDB0008043,32,0.99968,1
HMDB0011110,21,0.12625,0
HMDB0000582,45,0.49694,1
HMDB0011557,5,0.0018287,0
HMDB0008660,32,0.99877,1
HMDB0004400,35,0.21764,0
HMDB0008338,6,5.32E-07,0
HMDB0008102,30,2.61E-06,0
HMDB0002364,42,0.96186,1
HMDB0012162,35,0.080573,1
HMDB0031231,11,0.98523,1
HMDB0008191,4,4.33E-06,0
HMDB0001076,12,0.31792,0
HMDB0005199,18,0.049248,0
HMDB0037790,23,0.018501,0
HMDB0002203,40,0.0095651,0
HMDB0000332,49,0.8252,1
HMDB0008232,32,0.999,1
HMDB0028840,42,0.98346,0
HMDB0006796,29,0.0242,0
HMDB0008505,30,7.93E-07,0
HMDB0012107,35,0.00012505,0
HMDB0031450,55,0.89589,1
HMDB0001414,8,0.90834,0
HMDB0028955,42,0.98722,1
HMDB0000453,15,0.080597,0
HMDB0000039,42,0.98151,1
HMDB0003119,30,0.0082406,0
HMDB0000201,42,0.99912,1
HMDB0008318,32,0.99989,1
HMDB0000122,42,0.97866,1
HMDB0028938,48,0.0036773,0
HMDB0011107,21,0.052648,0
HMDB0028700,42,0.98901,1
HMDB0031475,47,0.031192,0
HMDB0002231,42,0.95605,1
HMDB0029095,42,0.94975,1
HMDB0008015,32,0.99994,1
HMDB0008694,32,0.99843,1
HMDB0003236,42,0.97824,1
HMDB0007915,47,6.71E-05,0
HMDB0008108,51,8.07E-06,0
HMDB0008662,36,2.34E-07,0
HMDB0000212,42,0.98086,1
HMDB0029126,1,0.014846,0
HMDB0007924,16,0.00012845,0
HMDB0001209,24,0.010736,0
HMDB0001373,45,0.094104,0
HMDB0006454,44,0.0034016,0
HMDB0000657,9,0.61209,0
HMDB0001488,11,0.95025,1
HMDB0036657,1,0.84307,0
HMDB0008422,37,0.00019444,0
HMDB0005006,50,0.11757,0
HMDB0000301,12,0.80984,0
HMDB0000626,42,0.96764,1
HMDB0003701,25,0.026351,0
HMDB0036559,55,0.90097,1
HMDB0006528,42,0.94163,1
HMDB0003315,47,0.031681,0
HMDB0000012,47,0.085648,0
HMDB0036467,11,0.92767,1
HMDB0032972,11,0.98202,1
HMDB0035514,42,0.95958,1
HMDB0008028,35,7.81E-05,0
HMDB0008544,11,0.0023135,0
HMDB0013627,11,0.80331,1
HMDB0002123,42,0.94927,1
HMDB0000095,42,0.95989,1
HMDB0000209,42,0.96857,1
HMDB0008628,32,0.99852,1
HMDB0000138,11,0.82148,1
HMDB0013413,28,0.00026457,0
HMDB0037397,42,0.9714,1
HMDB0000240,39,0.0044157,0
HMDB0003514,52,0.00038272,0
HMDB0001923,42,0.92714,1
HMDB0006806,7,0.03053,0
HMDB0031482,11,0.98586,1
HMDB0001371,26,0.15492,0
HMDB0012154,6,0.0057032,0
HMDB0008226,0,1.51E-05,0
HMDB0006225,43,0.43374,1
HMDB0003227,12,0.903,1
HMDB0011737,4,0.012004,0
HMDB0011279,23,8.63E-07,0
HMDB0011333,26,4.00E-06,0
HMDB0008382,32,0.99907,1
HMDB0001078,19,0.024012,0
HMDB0001000,31,0.0048334,0
HMDB0011244,52,3.19E-07,0
HMDB0008382,16,3.73E-05,0
HMDB0000085,42,0.93924,1
HMDB0028852,34,0.073729,0
HMDB0000670,38,0.0057504,0
HMDB0001062,23,0.0018619,0
HMDB0036574,12,0.92223,1
HMDB0028980,46,0.0035146,0
HMDB0031409,55,0.90807,1
HMDB0094649,53,0.48684,0
HMDB0000637,50,0.23091,0
HMDB0008277,52,1.78E-07,0
HMDB0008604,32,0.99996,1
HMDB0008177,15,3.85E-05,0
HMDB0000483,46,0.099515,0
HMDB0000107,15,0.1285,0
HMDB0035658,55,0.9109,1
HMDB0003363,20,0.025814,0
HMDB0013466,29,0.010537,0
HMDB0008534,25,7.01E-07,0
HMDB0059810,36,0.0036657,0
HMDB0000892,55,0.97995,1
HMDB0008236,32,0.99894,1
HMDB0000863,11,0.98244,1
HMDB0007988,5,4.29E-07,0
HMDB0035238,55,0.95709,1
HMDB0007997,35,1.51E-05,0
HMDB0029096,45,0.043392,0
HMDB0003939,13,0.00021042,0
HMDB0008346,32,0.99948,1
HMDB0008029,8,0.00045888,0
HMDB0000547,31,0.81735,1
HMDB0007887,32,0.99918,1
HMDB0034219,51,0.38454,0
HMDB0013439,10,7.25E-05,0
HMDB0031342,55,0.78729,1
HMDB0003374,42,0.99078,1
HMDB0033547,8,0.90153,1
HMDB0013417,32,0.99981,1
HMDB0011269,32,0.99946,1
HMDB0007929,32,0.99895,1
HMDB0000306,11,0.98765,1
HMDB0000641,11,0.98735,1
HMDB0003331,42,0.96281,1
HMDB0000689,1,0.066366,0
HMDB0013427,46,1.66E-06,0
HMDB0000122,50,0.053826,0
HMDB0011469,55,0.9644,1
HMDB0040221,27,0.16633,0
HMDB0008314,32,0.99942,1
HMDB0008141,32,0.9996,1
HMDB0013811,11,0.96915,1
HMDB0029600,12,0.96788,1
HMDB0000375,42,0.9541,1
HMDB0001336,37,0.65162,0
HMDB0008217,42,0.018476,0
HMDB0005781,42,0.95206,1
HMDB0000162,8,0.40221,1
HMDB0008573,21,7.94E-06,0
HMDB0011203,19,0.0014748,0
HMDB0003011,9,0.0036495,0
HMDB0011573,13,0.001289,0
HMDB0000474,43,0.97049,0
HMDB0031475,12,0.9706,1
HMDB0000510,12,0.96722,1
HMDB0000929,8,0.38931,1
HMDB0060015,33,0.0176,0
HMDB0013132,15,0.63865,0
HMDB0011301,20,4.39E-06,0
HMDB0011280,32,0.99992,1
HMDB0000207,42,0.96442,1
HMDB0011154,21,0.0052257,0
HMDB0001195,7,0.010798,0
HMDB0031206,55,0.93114,1
HMDB0008653,31,2.59E-05,0
HMDB0004667,42,0.97878,1
HMDB0011573,51,0.0038592,0
HMDB0000148,17,0.53058,1
HMDB0035658,24,0.20696,0
HMDB0008429,32,0.99883,1
HMDB0012310,6,0.0046245,0
HMDB0000903,1,0.85417,1
HMDB0000214,12,0.97833,1
HMDB0002211,13,0.0026763,0
HMDB0000243,51,0.38426,0
HMDB0006869,31,0.044533,0
HMDB0013461,32,0.99989,1
HMDB0005960,47,0.057659,0
HMDB0061835,42,0.94429,1
HMDB0001078,42,0.97467,1
HMDB0007897,49,3.02E-05,0
HMDB0061896,10,0.65358,0
HMDB0000990,12,0.96793,1
HMDB0011217,14,3.87E-06,0
HMDB0008140,18,5.95E-07,0
HMDB0000474,12,0.98396,1
HMDB0001448,49,0.0094517,0
HMDB0008163,32,0.99916,1
HMDB0001989,39,0.22255,0
HMDB0011320,0,3.31E-06,0
HMDB0002200,0,0.30322,0
HMDB0008137,32,0.99953,1
HMDB0013243,20,0.0014396,0
HMDB0011174,4,0.02164,1
HMDB0008522,29,9.30E-05,0
